Date|DateKey|Year|Year Quarter|Year Quarter Number|Quarter|Year Month|Year Month Short|Year Month Number|Month|Month Short|Month Number|Day of Week|Day of Week Short|Day of Week Number|Working Day|Working Day Number
2017-01-01|20170101|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Sunday|Sun|1|False|0
2017-01-02|20170102|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Monday|Mon|2|False|0
2017-01-03|20170103|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Tuesday|Tue|3|True|1
2017-01-04|20170104|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Wednesday|Wed|4|True|2
2017-01-05|20170105|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Thursday|Thu|5|True|3
2017-01-06|20170106|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Friday|Fri|6|True|4
2017-01-07|20170107|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Saturday|Sat|7|False|4
2017-01-08|20170108|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Sunday|Sun|1|False|4
2017-01-09|20170109|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Monday|Mon|2|True|5
2017-01-10|20170110|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Tuesday|Tue|3|True|6
2017-01-11|20170111|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Wednesday|Wed|4|True|7
2017-01-12|20170112|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Thursday|Thu|5|True|8
2017-01-13|20170113|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Friday|Fri|6|True|9
2017-01-14|20170114|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Saturday|Sat|7|False|9
2017-01-15|20170115|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Sunday|Sun|1|False|9
2017-01-16|20170116|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Monday|Mon|2|False|9
2017-01-17|20170117|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Tuesday|Tue|3|True|10
2017-01-18|20170118|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Wednesday|Wed|4|True|11
2017-01-19|20170119|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Thursday|Thu|5|True|12
2017-01-20|20170120|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Friday|Fri|6|True|13
2017-01-21|20170121|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Saturday|Sat|7|False|13
2017-01-22|20170122|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Sunday|Sun|1|False|13
2017-01-23|20170123|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Monday|Mon|2|True|14
2017-01-24|20170124|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Tuesday|Tue|3|True|15
2017-01-25|20170125|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Wednesday|Wed|4|True|16
2017-01-26|20170126|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Thursday|Thu|5|True|17
2017-01-27|20170127|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Friday|Fri|6|True|18
2017-01-28|20170128|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Saturday|Sat|7|False|18
2017-01-29|20170129|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Sunday|Sun|1|False|18
2017-01-30|20170130|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Monday|Mon|2|True|19
2017-01-31|20170131|2017|Q1-2017|8069|Q1|January 2017|Jan 2017|24205|January|Jan|1|Tuesday|Tue|3|True|20
2017-02-01|20170201|2017|Q1-2017|8069|Q1|February 2017|Feb 2017|24206|February|Feb|2|Wednesday|Wed|4|True|21
