OrderKey|Line Number|ProductKey|Quantity|Unit Price|Net Price|Unit Cost
370516|0|1730|1|77.68|71.4656|35.72
370517|0|422|1|969|969|321.05
370600|0|437|1|499.9|479.904|254.86
370700|0|1474|5|208|208|95.65
370700|1|570|3|299|296.01|99.06
370700|2|1455|1|290|290|133.36
370701|0|1348|1|22.99|22.99|10.57
370702|0|1061|1|588|511.56|194.82
370703|0|438|2|919|919|304.48
370703|1|1316|1|9.99|9.99|5.09
370703|2|1780|4|43|38.27|21.92
370704|0|1653|2|109.99|95.6913|56.08
370704|1|1687|3|6.88|6.88|3.16
370704|2|419|6|369|328.41|188.13
370704|3|188|2|116.9|104.041|53.76
370705|0|726|2|147|138.18|67.6
370705|1|2101|1|877.5|859.95|403.53
370706|0|628|2|459|394.74|152.08
370706|1|902|7|44|38.28|22.43
370706|2|517|7|819|728.91|271.35
370800|0|1089|1|568|499.84|188.19
370801|0|2510|3|4.06|3.7352|2.07
370801|1|988|2|148|133.2|68.06
370801|2|1324|4|38.99|35.091|17.93
370802|0|1607|6|179.99|158.3912|82.77
370802|1|314|3|309|275.01|157.54
370802|2|1329|1|16.99|16.99|7.81
370802|3|345|1|699|699|321.44
370802|4|332|2|219|188.34|111.65
370803|0|613|4|699|699|321.44
370804|0|1643|2|57.88|50.9344|26.62
370804|1|93|3|67.4|62.008|34.36
370804|2|2505|3|9.99|8.7912|5.09
370805|0|418|2|269.95|269.95|137.63
370805|1|153|2|469.97|413.5736|216.12
370805|2|1655|9|289.99|263.8909|96.08
370805|3|1258|6|39.99|35.5911|20.39
370806|0|1641|3|12.66|12.66|5.82
370807|0|2076|3|139.99|123.1912|71.37
370807|1|747|1|12.95|11.137|6.6
370808|0|154|3|469.97|408.8739|216.12
370900|0|1576|4|12.99|11.4312|6.62
370900|1|1455|1|290|249.4|133.36
370900|2|670|1|196|196|90.13
370900|3|1647|3|179.99|160.1911|82.77
370901|0|1696|1|16.99|14.9512|5.63
370901|1|362|3|1299|1182.09|430.38
370902|0|397|8|699|650.07|321.44
370902|1|118|1|169.99|169.99|86.67
370903|0|83|2|99.99|86.9913|45.98
370904|0|1686|2|6.99|6.3609|3.56
370904|1|1590|4|22.89|22.89|7.58
370904|2|1316|1|9.99|9.99|5.09
370905|0|58|3|156|156|79.53
370905|1|1551|10|299|299|137.5
370906|0|1634|1|9.99|9.99|5.09
370906|1|1383|1|12.99|12.99|6.62
370906|2|1586|3|12.66|11.394|5.82
370906|3|1487|3|267|267|122.78
370907|0|1430|4|299|275.08|137.5
370908|0|1994|7|94.99|94.0401|48.43
370908|1|1409|3|589|565.44|195.15
370909|0|1549|1|389|365.66|128.88
370909|1|523|3|139|139|70.87
370910|0|2075|4|179.99|160.1911|82.77
370910|1|87|3|99.99|87.9912|45.98
371000|0|331|2|199|181.09|101.46
371000|1|550|1|109|100.28|55.57
371000|2|2510|2|4.06|3.6134|2.07
371001|0|1535|3|268|268|123.24
371001|1|1440|1|189|189|86.91
371001|2|1357|1|38.99|38.99|17.93
371002|0|1639|1|9.99|8.7912|5.09
371003|0|1479|6|310|269.7|142.56
371003|1|1615|1|289.99|260.991|96.08
371003|2|1499|3|310|310|142.56
371004|0|611|8|2295|2249.1|760.38
371004|1|1671|2|4.99|4.491|2.54
371004|2|443|1|349|307.12|160.49
371004|3|848|1|15.6|14.664|7.95
371004|4|372|3|758|758|348.58
371005|0|715|3|149|149|68.52
371006|0|1374|3|16|14.4|8.16
371007|0|737|6|159|138.33|73.12
371008|0|1475|2|230|223.1|105.77
371009|0|74|1|37.95|37.95|17.45
371009|1|1988|3|94.99|94.99|48.43
371009|2|1410|3|230|218.5|105.77
371010|0|1631|1|12.66|12.66|5.82
371100|0|1442|3|529|454.94|175.27
371100|1|1697|3|5.39|5.39|2.75
371102|0|1936|3|299.99|299.99|152.94
371103|0|388|2|382.95|382.95|195.24
371103|1|142|6|299.99|299.99|152.94
371103|2|345|2|699|699|321.44
371104|0|52|1|199.95|195.951|91.95
371104|1|1801|3|32|31.36|16.31
371105|0|1623|7|219|188.34|72.56
371200|0|1078|1|314|279.46|144.4
371200|1|451|3|559|553.41|257.06
371200|2|1457|2|189|171.99|86.91
371200|3|1623|1|219|219|72.56
371201|0|2040|3|139.99|139.99|71.37
371202|0|1623|3|219|219|72.56
371202|1|48|3|149.95|148.4505|76.45
371202|2|1373|7|14.19|14.19|7.23
371203|0|648|1|79|79|40.28
371203|1|557|6|459|403.92|152.08
371203|2|1644|2|57.88|51.5132|26.62
371204|0|1476|1|288|267.84|132.44
371205|0|796|6|16.9|15.041|8.62
