OrderKey|CustomerKey|StoreKey|Order Date|Delivery Date|Currency Code
269500|769337|999999|2017-05-18|2017-05-24|EUR
269501|1363969|630|2017-05-18|2017-05-18|USD
269502|1071598|420|2017-05-18|2017-05-18|GBP
269503|10568|35|2017-05-18|2017-05-18|AUD
269504|1337541|999999|2017-05-18|2017-05-20|USD
269600|1407591|630|2017-05-19|2017-05-19|USD
269601|486481|999999|2017-05-19|2017-05-21|EUR
269602|990768|999999|2017-05-19|2017-05-25|GBP
269700|1929311|670|2017-05-20|2017-05-20|USD
269701|226184|80|2017-05-20|2017-05-20|CAD
269702|1499310|999999|2017-05-20|2017-05-24|USD
269703|1863336|999999|2017-05-20|2017-05-23|USD
269704|809101|999999|2017-05-20|2017-05-23|EUR
269705|1523499|570|2017-05-20|2017-05-20|USD
269900|1811019|510|2017-05-22|2017-05-22|USD
269901|1737219|550|2017-05-22|2017-05-22|USD
270000|1266410|999999|2017-05-23|2017-05-28|USD
270001|1152536|380|2017-05-23|2017-05-23|GBP
270002|24415|60|2017-05-23|2017-05-23|AUD
270100|1010453|999999|2017-05-24|2017-05-26|GBP
270101|665260|999999|2017-05-24|2017-05-27|EUR
270102|339399|999999|2017-05-24|2017-05-26|CAD
270103|1591870|465|2017-05-24|2017-05-24|USD
270200|1550574|999999|2017-05-25|2017-05-29|USD
270201|1651649|480|2017-05-25|2017-05-25|USD
270202|179032|999999|2017-05-25|2017-05-26|AUD
270203|1774451|999999|2017-05-25|2017-05-28|USD
270204|215228|72|2017-05-25|2017-05-25|CAD
270300|1611777|999999|2017-05-26|2017-05-27|USD
270301|1761592|530|2017-05-26|2017-05-26|USD
270302|1528440|450|2017-05-26|2017-05-26|USD
270400|725277|999999|2017-05-27|2017-05-31|EUR
270401|1894693|560|2017-05-27|2017-05-27|USD
270402|576844|200|2017-05-27|2017-05-27|EUR
270403|278645|999999|2017-05-27|2017-05-28|CAD
270404|2050764|999999|2017-05-27|2017-05-30|USD
270405|1708378|999999|2017-05-27|2017-05-31|USD
270600|747526|999999|2017-05-29|2017-06-01|EUR
270601|18470|40|2017-05-29|2017-05-29|AUD
270700|1820377|465|2017-05-30|2017-05-30|USD
270701|2005898|999999|2017-05-30|2017-06-03|USD
270702|1967881|560|2017-05-30|2017-05-30|USD
270800|1115544|999999|2017-05-31|2017-06-04|GBP
270801|592829|999999|2017-05-31|2017-06-06|EUR
270802|569162|230|2017-05-31|2017-05-31|EUR
270803|835250|320|2017-05-31|2017-05-31|EUR
270900|1727024|590|2017-06-01|2017-06-01|USD
270901|440388|999999|2017-06-01|2017-06-05|EUR
270902|1872354|999999|2017-06-01|2017-06-03|USD
270903|327997|100|2017-06-01|2017-06-01|CAD
270904|1720162|500|2017-06-01|2017-06-01|USD
271000|1976114|500|2017-06-02|2017-06-02|USD
271001|1344897|585|2017-06-02|2017-06-02|USD
271002|1067702|420|2017-06-02|2017-06-02|GBP
271100|1466191|999999|2017-06-03|2017-06-06|USD
271101|1362184|605|2017-06-03|2017-06-03|USD
271102|519013|220|2017-06-03|2017-06-03|EUR
271103|222126|72|2017-06-03|2017-06-03|CAD
271104|785015|999999|2017-06-03|2017-06-06|EUR
271105|2017000|470|2017-06-03|2017-06-03|USD
271300|1273789|999999|2017-06-05|2017-06-11|USD
271301|1887059|999999|2017-06-05|2017-06-07|USD
271400|1941383|630|2017-06-06|2017-06-06|USD
271401|54333|35|2017-06-06|2017-06-06|AUD
271402|2074662|430|2017-06-06|2017-06-06|USD
271500|1790511|610|2017-06-07|2017-06-07|USD
271501|35940|999999|2017-06-07|2017-06-12|AUD
271502|410169|240|2017-06-07|2017-06-07|EUR
271503|1394910|550|2017-06-07|2017-06-07|USD
271600|184041|35|2017-06-08|2017-06-08|AUD
271601|159420|999999|2017-06-08|2017-06-13|AUD
271602|1791266|480|2017-06-08|2017-06-08|USD
271603|1855763|660|2017-06-08|2017-06-08|USD
271604|598577|999999|2017-06-08|2017-06-11|EUR
271700|2085613|440|2017-06-09|2017-06-09|USD
271701|1081747|400|2017-06-09|2017-06-09|GBP
271702|135632|999999|2017-06-09|2017-06-12|AUD
271800|1358737|430|2017-06-10|2017-06-10|USD
271801|590308|270|2017-06-10|2017-06-10|EUR
271802|1305302|999999|2017-06-10|2017-06-17|USD
271803|1468193|999999|2017-06-10|2017-06-12|USD
271804|1767976|670|2017-06-10|2017-06-10|USD
271805|539388|220|2017-06-10|2017-06-10|EUR
272000|1019996|999999|2017-06-12|2017-06-17|GBP
272001|1299438|430|2017-06-12|2017-06-12|USD
272100|905144|400|2017-06-13|2017-06-13|GBP
272101|2072388|630|2017-06-13|2017-06-13|USD
272102|1286734|585|2017-06-13|2017-06-13|USD
272200|1447504|999999|2017-06-14|2017-06-18|USD
272201|372160|90|2017-06-14|2017-06-14|CAD
272202|1506205|999999|2017-06-14|2017-06-17|USD
272203|1242570|630|2017-06-14|2017-06-14|USD
272204|646282|130|2017-06-14|2017-06-14|EUR
272300|285746|999999|2017-06-15|2017-06-22|CAD
272301|247215|999999|2017-06-15|2017-06-18|CAD
272302|790243|290|2017-06-15|2017-06-15|EUR
272303|980754|999999|2017-06-15|2017-06-19|GBP
272304|1666798|999999|2017-06-15|2017-06-17|USD
272400|862612|340|2017-06-16|2017-06-16|EUR
272401|182353|40|2017-06-16|2017-06-16|AUD
272402|1809039|999999|2017-06-16|2017-06-18|USD
272500|1673434|999999|2017-06-17|2017-06-21|USD
272501|76216|999999|2017-06-17|2017-06-22|AUD
272502|1606514|999999|2017-06-17|2017-06-19|USD
272503|1923947|999999|2017-06-17|2017-06-20|USD
272504|1313477|999999|2017-06-17|2017-06-19|USD
272505|1875879|999999|2017-06-17|2017-06-20|USD
272700|1457037|465|2017-06-19|2017-06-19|USD
272701|303262|999999|2017-06-19|2017-06-22|CAD
272800|1693201|510|2017-06-20|2017-06-20|USD
272801|1790221|480|2017-06-20|2017-06-20|USD
272802|597198|999999|2017-06-20|2017-06-22|EUR
272900|1564654|440|2017-06-21|2017-06-21|USD
272901|1970659|650|2017-06-21|2017-06-21|USD
272902|1665483|450|2017-06-21|2017-06-21|USD
272903|848237|999999|2017-06-21|2017-06-27|EUR
272904|491106|999999|2017-06-21|2017-06-23|EUR
273000|1177058|999999|2017-06-22|2017-06-29|GBP
273001|1350525|500|2017-06-22|2017-06-22|USD
273002|1976065|650|2017-06-22|2017-06-22|USD
273003|1938856|480|2017-06-22|2017-06-22|USD
273004|1461681|660|2017-06-22|2017-06-22|USD
273100|382314|999999|2017-06-23|2017-06-27|CAD
273101|518983|255|2017-06-23|2017-06-23|EUR
273102|1468028|999999|2017-06-23|2017-06-25|USD
273200|1699986|999999|2017-06-24|2017-06-25|USD
273201|588045|240|2017-06-24|2017-06-24|EUR
273202|47240|50|2017-06-24|2017-06-24|AUD
273203|1254669|999999|2017-06-24|2017-06-29|USD
273204|1673825|999999|2017-06-24|2017-06-26|USD
273205|1977249|550|2017-06-24|2017-06-24|USD
273206|1639749|660|2017-06-24|2017-06-24|USD
273400|1897818|660|2017-06-26|2017-06-26|USD
273401|838471|999999|2017-06-26|2017-06-28|EUR
273500|102075|999999|2017-06-27|2017-06-30|AUD
273501|1661431|510|2017-06-27|2017-06-27|USD
273502|233554|999999|2017-06-27|2017-06-29|CAD
273600|1324963|999999|2017-06-28|2017-07-02|USD
273601|1851287|999999|2017-06-28|2017-06-29|USD
273602|285552|999999|2017-06-28|2017-07-01|CAD
273603|1993254|590|2017-06-28|2017-06-28|USD
273604|834102|330|2017-06-28|2017-06-28|EUR
273700|1748155|999999|2017-06-29|2017-06-30|USD
273701|1606420|670|2017-06-29|2017-06-29|USD
273702|1496601|650|2017-06-29|2017-06-29|USD
273703|1715789|500|2017-06-29|2017-06-29|USD
273704|1612152|610|2017-06-29|2017-06-29|USD
273800|379115|72|2017-06-30|2017-06-30|CAD
273801|1343107|430|2017-06-30|2017-06-30|USD
273802|1676996|450|2017-06-30|2017-06-30|USD
273900|1812408|670|2017-07-01|2017-07-01|USD
273901|284672|999999|2017-07-01|2017-07-04|CAD
273902|376399|999999|2017-07-01|2017-07-03|CAD
273903|1798962|999999|2017-07-01|2017-07-03|USD
273904|1232207|660|2017-07-01|2017-07-01|USD
273905|419534|999999|2017-07-01|2017-07-04|EUR
273906|1665301|585|2017-07-01|2017-07-01|USD
274100|75261|999999|2017-07-03|2017-07-06|AUD
274101|1418065|465|2017-07-03|2017-07-03|USD
274200|1318421|999999|2017-07-04|2017-07-07|USD
274201|898671|330|2017-07-04|2017-07-04|EUR
274202|7566|999999|2017-07-04|2017-07-07|AUD
274300|470691|230|2017-07-05|2017-07-05|EUR
274301|1851215|450|2017-07-05|2017-07-05|USD
274302|308410|999999|2017-07-05|2017-07-08|CAD
274303|1091961|999999|2017-07-05|2017-07-06|GBP
274304|1006646|410|2017-07-05|2017-07-05|GBP
274400|1934470|999999|2017-07-06|2017-07-12|USD
274401|849282|340|2017-07-06|2017-07-06|EUR
274402|1101543|410|2017-07-06|2017-07-06|GBP
274403|1944648|999999|2017-07-06|2017-07-11|USD
274404|509108|270|2017-07-06|2017-07-06|EUR
274500|1244856|610|2017-07-07|2017-07-07|USD
274501|502321|999999|2017-07-07|2017-07-10|EUR
274502|1960690|605|2017-07-07|2017-07-07|USD
274600|1495596|999999|2017-07-08|2017-07-15|USD
274601|1808127|560|2017-07-08|2017-07-08|USD
274602|1901005|999999|2017-07-08|2017-07-11|USD
274603|1288199|660|2017-07-08|2017-07-08|USD
274604|2832|999999|2017-07-08|2017-07-11|AUD
274605|106727|35|2017-07-08|2017-07-08|AUD
274606|1248660|999999|2017-07-08|2017-07-11|USD
274800|1674095|510|2017-07-10|2017-07-10|USD
274801|960995|999999|2017-07-10|2017-07-12|GBP
274900|1681087|510|2017-07-11|2017-07-11|USD
274901|426093|190|2017-07-11|2017-07-11|EUR
274902|1579758|999999|2017-07-11|2017-07-12|USD
275000|215446|100|2017-07-12|2017-07-12|CAD
275001|823079|330|2017-07-12|2017-07-12|EUR
275002|1381153|670|2017-07-12|2017-07-12|USD
275003|1576898|500|2017-07-12|2017-07-12|USD
275004|1902001|560|2017-07-12|2017-07-12|USD
275100|2098291|999999|2017-07-13|2017-07-16|USD
275101|1438425|999999|2017-07-13|2017-07-18|USD
275102|1936053|570|2017-07-13|2017-07-13|USD
275103|1242132|585|2017-07-13|2017-07-13|USD
275104|2085890|999999|2017-07-13|2017-07-17|USD
275200|2021576|530|2017-07-14|2017-07-14|USD
275201|1920224|550|2017-07-14|2017-07-14|USD
275202|1959248|430|2017-07-14|2017-07-14|USD
275300|1473409|999999|2017-07-15|2017-07-17|USD
275301|221099|72|2017-07-15|2017-07-15|CAD
275302|568798|200|2017-07-15|2017-07-15|EUR
275303|703957|999999|2017-07-15|2017-07-17|EUR
275304|915291|370|2017-07-15|2017-07-15|GBP
275305|437668|999999|2017-07-15|2017-07-19|EUR
275306|1877679|999999|2017-07-15|2017-07-18|USD
275500|1011273|999999|2017-07-17|2017-07-19|GBP
275501|579746|220|2017-07-17|2017-07-17|EUR
275502|2077922|610|2017-07-17|2017-07-17|USD
275600|248385|90|2017-07-18|2017-07-18|CAD
275601|836818|999999|2017-07-18|2017-07-23|EUR
275602|411821|190|2017-07-18|2017-07-18|EUR
275603|1720965|999999|2017-07-18|2017-07-23|USD
275700|1877532|999999|2017-07-19|2017-07-20|USD
275701|1992636|650|2017-07-19|2017-07-19|USD
275702|1600454|440|2017-07-19|2017-07-19|USD
275703|1821898|650|2017-07-19|2017-07-19|USD
275704|1035789|999999|2017-07-19|2017-07-21|GBP
275800|1127611|420|2017-07-20|2017-07-20|GBP
275801|1187742|360|2017-07-20|2017-07-20|GBP
275802|1916313|999999|2017-07-20|2017-07-24|USD
275803|1412984|510|2017-07-20|2017-07-20|USD
275804|1872362|500|2017-07-20|2017-07-20|USD
275805|1975212|450|2017-07-20|2017-07-20|USD
275900|2077261|999999|2017-07-21|2017-07-26|USD
275901|1063243|400|2017-07-21|2017-07-21|GBP
275902|769377|300|2017-07-21|2017-07-21|EUR
276000|1136696|999999|2017-07-22|2017-07-26|GBP
276001|1443212|540|2017-07-22|2017-07-22|USD
276002|1667349|999999|2017-07-22|2017-07-24|USD
276003|495858|999999|2017-07-22|2017-07-25|EUR
276004|2052444|999999|2017-07-22|2017-07-23|USD
276005|1657399|660|2017-07-22|2017-07-22|USD
276200|1294561|999999|2017-07-24|2017-07-27|USD
276300|316443|72|2017-07-25|2017-07-25|CAD
276301|916074|410|2017-07-25|2017-07-25|GBP
276400|1986804|540|2017-07-26|2017-07-26|USD
276401|617567|999999|2017-07-26|2017-07-30|EUR
276500|802848|320|2017-07-27|2017-07-27|EUR
276501|1099535|410|2017-07-27|2017-07-27|GBP
276600|257084|72|2017-07-28|2017-07-28|CAD
