GeoLocationKey|CountryCode|Country|StateCode|State|NumCustomers
253|IT|Italy|AP|Ascoli Piceno|1
254|IT|Italy|AQ|L'Aquila|1
255|IT|Italy|AR|Arezzo|1
256|IT|Italy|AT|Asti|2
257|IT|Italy|AV|Avellino|2
258|IT|Italy|BN|Benevento|2
259|IT|Italy|BO|Bologna|2
260|IT|Italy|BS|Brescia|1
261|IT|Italy|BZ|Bolzano|2
262|IT|Italy|CA|Cagliari|1
263|IT|Italy|CE|Caserta|2
264|IT|Italy|CH|Chieti|1
265|IT|Italy|CN|Cuneo|2
266|IT|Italy|CO|Como|1
267|IT|Italy|CS|Cosenza|2
268|IT|Italy|CT|Catania|2
269|IT|Italy|CZ|Catanzaro|1
270|IT|Italy|FE|Ferrara|1
271|IT|Italy|FG|Foggia|1
272|IT|Italy|FI|Firenze|2
273|IT|Italy|FO|Forli|1
274|IT|Italy|FR|Frosinone|1
275|IT|Italy|GE|Genova|2
276|IT|Italy|GO|Gorizia|1
277|IT|Italy|IS|Isernia|1
278|IT|Italy|KR|Crotone|1
279|IT|Italy|LC|Lecco|1
280|IT|Italy|LE|Lecce|1
281|IT|Italy|LI|Livorno|1
282|IT|Italy|LT|Latina|1
283|IT|Italy|LU|Lucca|1
284|IT|Italy|ME|Messina|2
285|IT|Italy|MN|Mantova|1
286|IT|Italy|MO|Modena|1
287|IT|Italy|MS|Massa|1
288|IT|Italy|NA|Napoli|2
289|IT|Italy|NO|Novara|2
290|IT|Italy|PE|Pescara|1
291|IT|Italy|PG|Perugia|5
292|IT|Italy|PI|Pisa|1
293|IT|Italy|PR|Parma|3
294|IT|Italy|RA|Ravenna|2
295|IT|Italy|RC|Reggio Calabria|2
296|IT|Italy|RE|Reggio Emilia|1
297|IT|Italy|RI|Rieti|1
298|IT|Italy|RM|Roma|3
299|IT|Italy|RO|Rovigo|1
300|IT|Italy|SA|Salerno|3
301|IT|Italy|SP|La Spezia|1
302|IT|Italy|SS|Sassari|1
303|IT|Italy|TA|Taranto|1
304|IT|Italy|TE|Teramo|1
305|IT|Italy|TN|Trento|5
306|IT|Italy|TO|Torino|2
307|IT|Italy|TP|Trapani|1
308|IT|Italy|TR|Termi|1
309|IT|Italy|UD|Udine|3
310|IT|Italy|VA|Varese|1
311|IT|Italy|VC|Vercelli|1
312|IT|Italy|VR|Verona|2
313|NL|Netherlands|DR|Drenthe|7
314|NL|Netherlands|FL|Flevoland|9
315|NL|Netherlands|FR|Friesland|17
316|NL|Netherlands|GE|Gelderland|29
317|NL|Netherlands|GR|Groningen|16
318|NL|Netherlands|LI|Limburg|20
319|NL|Netherlands|NB|Noord-Brabant|42
320|NL|Netherlands|NH|Noord-Holland|42
321|NL|Netherlands|OV|Overijssel|23
322|NL|Netherlands|UT|Utrecht|20
323|NL|Netherlands|ZE|Zeeland|10
324|NL|Netherlands|ZH|Zuid-Holland|55
325|US|United States|AK|Alaska|13
326|US|United States|AL|Alabama|40
327|US|United States|AR|Arkansas|28
328|US|United States|AZ|Arizona|45
329|US|United States|CA|California|311
330|US|United States|CO|Colorado|44
331|US|United States|CT|Connecticut|32
332|US|United States|DC|Washington DC|9
333|US|United States|DE|Delaware|13
334|US|United States|FL|Florida|143
335|US|United States|GA|Georgia|85
